time,FOL_X,FOL_Y,FOL_Z,FOR_X,FOR_Y,FOR_Z,FVL_X,FVL_Y,FVL_Z,FVR_X,FVR_Y,FVR_Z,EOL,EOR,PPLX,PPLY,PPRX,PPRY,AOIName,PCL_X,PCL_Y,PCL_Z,PCR_X,PCR_Y,PCR_Z
1.266667,-3.755208,2.815213,1.031217,-4.008339,-2.886443,1.008887,0.992279,-0.040741,-0.117065,0.989716,-0.037323,-0.138077,0.948172,0.941230,0.359007,0.353264,-0.076084,0.307297,NULL,4.469239,46.549347,81.150246,4.354864,6.170741,-16.904417
1.288889,-3.751910,2.815489,1.030838,-4.033129,-2.886045,1.016507,0.991669,-0.030441,-0.125092,0.989014,-0.027359,-0.145157,0.970483,0.949107,0.361400,0.351290,-0.073789,0.306701,NULL,4.461274,46.549999,81.161430,4.372518,6.169470,-16.901747
1.311112,-3.753334,2.817868,1.030746,-4.050908,-2.887174,1.020648,0.991730,-0.022217,-0.126358,0.988434,-0.024490,-0.149551,0.964219,0.938675,0.361827,0.350656,-0.072471,0.305237,NULL,4.446084,46.555302,81.162300,4.352531,6.170345,-16.911579
1.333334,-3.751445,2.817681,1.030440,-4.002576,-2.887927,1.008380,0.991516,-0.022003,-0.127991,0.988861,-0.031876,-0.145355,0.957106,0.942799,0.361959,0.350254,-0.073453,0.305689,NULL,4.454606,46.554298,81.146477,4.315341,6.165775,-16.929085
1.355556,-3.750168,2.817610,1.030118,-3.992740,-2.887508,1.006914,0.991287,-0.017944,-0.130478,0.988739,-0.025436,-0.147400,0.980911,0.948885,0.363041,0.349531,-0.071893,0.305633,NULL,4.474717,46.556591,81.127098,4.294835,6.137649,-16.911949
1.377779,-3.745651,2.817621,1.028976,-4.000185,-2.887640,1.008867,0.990860,-0.016418,-0.133835,0.989197,-0.028320,-0.143753,0.969705,0.951842,0.363286,0.348501,-0.072693,0.306892,NULL,4.477490,46.550556,81.125969,4.290638,6.111557,-16.902445
1.400001,-3.740477,2.817646,1.028607,-3.998920,-2.887640,1.008527,0.990463,-0.014801,-0.136932,0.989212,-0.028366,-0.143631,0.960081,0.953796,0.363581,0.348271,-0.072693,0.306892,NULL,4.489659,46.552418,81.111839,4.292594,6.093300,-16.894976
1.422223,-3.738895,2.817621,1.028123,-3.995091,-2.887389,1.007469,0.990234,-0.013153,-0.138748,0.989136,-0.031387,-0.143524,0.980314,0.952915,0.363968,0.347649,-0.073703,0.306796,NULL,4.497193,46.555092,81.110786,4.307099,6.081641,-16.886168
1.444445,-3.738895,2.817646,1.028436,-4.059848,-2.886871,1.023668,0.990402,-0.013199,-0.137512,0.988953,-0.025345,-0.145996,0.979477,0.949784,0.363968,0.348271,-0.073033,0.307038,NULL,4.511685,46.549625,81.118217,4.321682,6.068069,-16.882128
1.466668,-3.739012,2.817781,1.028558,-4.052716,-2.886972,1.022745,0.990387,-0.013550,-0.137573,0.988480,-0.027222,-0.148804,0.969059,0.952524,0.363765,0.348271,-0.073436,0.306731,NULL,4.521337,46.549374,81.123405,4.333657,6.065003,-16.883348
1.488890,-3.741135,2.817926,1.028976,-4.066548,-2.887128,1.025975,0.989990,-0.011688,-0.140625,0.988342,-0.029831,-0.149277,0.983537,0.931664,0.364160,0.347311,-0.074204,0.306624,NULL,4.525083,46.552021,81.123894,4.322471,6.075262,-16.904066
1.511112,-3.758003,2.818416,1.033652,-4.067673,-2.887251,1.026212,0.989670,-0.013306,-0.142700,0.988144,-0.030197,-0.150513,0.988890,0.951341,0.363765,0.347326,-0.074228,0.306256,NULL,4.528287,46.545517,81.129494,4.302623,6.080999,-16.923422
1.533334,-3.762552,2.818419,1.034494,-4.063890,-2.887271,1.025110,0.989975,-0.014328,-0.140472,0.988449,-0.030090,-0.148514,0.984277,0.970759,0.363619,0.347799,-0.074144,0.306659,NULL,4.533372,46.553028,81.124352,4.309671,6.089878,-16.925974
1.555557,-3.763399,2.818455,1.034691,-4.062469,-2.887299,1.024312,0.990143,-0.014130,-0.139313,0.988602,-0.030029,-0.147430,0.979592,0.941659,0.363673,0.348103,-0.074084,0.306639,NULL,4.529489,46.546925,81.134361,4.299776,6.108170,-16.940615
1.577779,-3.760985,2.818477,1.034511,-4.047403,-2.887779,1.022166,0.990021,-0.010788,-0.140427,0.988068,-0.029755,-0.151093,0.981382,0.949279,0.364501,0.348103,-0.073529,0.306528,NULL,4.531884,46.549805,81.135307,4.295456,6.133680,-16.945745
1.600001,-3.724854,2.818277,1.026103,-4.040357,-2.888411,1.021953,0.991226,-0.009705,-0.131775,0.987885,-0.028961,-0.152451,0.909720,0.921363,0.364179,0.350532,-0.072748,0.307211,NULL,4.535371,46.544273,81.140923,4.268773,6.138134,-16.966791
1.622224,-3.813438,2.823032,1.058450,-4.089180,-2.894626,1.043867,0.982574,-0.016495,-0.185074,0.981415,-0.034485,-0.188705,0.639494,0.808675,0.360622,0.344271,-0.070249,0.304365,NULL,4.545629,46.542850,81.139183,4.269258,6.127308,-16.953869
1.644446,-3.800264,2.791457,0.965785,-4.018865,-2.935388,1.074889,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.284833,0.566263,0.000000,0.000000,0.000000,0.000000,NULL,4.546075,46.542671,81.133095,4.285266,6.102446,-16.948433
﻿1.711113,-3.910344,3.033029,0.806734,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.541604,46.547802,81.093376,4.274642,6.033003,-16.940439
1.733335,-3.904955,3.002275,0.794293,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.553349,46.553909,81.084633,4.290764,6.014883,-16.925484
1.844446,-3.769120,2.653352,1.108322,-4.081141,-3.090802,1.091615,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.080875,0.673800,0.000000,0.000000,0.000000,0.000000,NULL,4.537534,46.574047,81.090370,4.341373,6.083793,-16.923613
1.866669,-3.771796,2.679482,1.086311,-4.067923,-3.062285,1.072122,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.326528,0.825688,0.000000,0.000000,0.000000,0.000000,NULL,4.532281,46.577606,81.084206,4.333020,6.081805,-16.935703
1.888891,-3.766141,2.713931,1.059572,-4.059384,-3.019341,1.051849,0.981400,0.172409,-0.084366,0.981903,0.173645,-0.075394,0.673362,0.922988,0.499325,0.389095,0.081872,0.347554,NULL,4.543859,46.588669,81.085136,4.371661,6.079735,-16.932878
1.911113,-3.755866,2.739450,1.053458,-4.052355,-2.995116,1.043576,0.980865,0.155823,-0.116623,0.986557,0.118088,-0.112930,0.792820,0.967262,0.472813,0.375243,0.048052,0.331827,NULL,4.542245,46.598709,81.083977,4.392878,6.071935,-16.913069
1.933336,-3.777226,2.743848,1.056685,-4.049642,-2.995661,1.039879,0.981750,0.152222,-0.113922,0.990051,0.088074,-0.109665,1.000000,1.000000,0.468994,0.374247,0.040014,0.330709,NULL,4.536515,46.608730,81.075706,4.351667,6.072796,-16.890301
1.955558,-3.764714,2.745445,1.049509,-4.050136,-2.995893,1.038966,0.981400,0.166412,-0.095657,0.990067,0.090485,-0.107529,1.000000,1.000000,0.471377,0.376323,0.040869,0.330545,NULL,4.545529,46.614746,81.074669,4.314938,6.076730,-16.877691
1.977780,-3.765108,2.745998,1.049748,-4.049930,-2.995935,1.039497,0.980133,0.168564,-0.104385,0.990311,0.088120,-0.107315,1.000000,1.000000,0.471402,0.373927,0.040238,0.331077,NULL,4.527772,46.628132,81.056664,4.313200,6.056240,-16.837360
2.000002,-3.765587,2.746521,1.049577,-4.049196,-2.995531,1.039571,0.979980,0.169998,-0.103561,0.989639,0.082657,-0.117294,1.000000,1.000000,0.471402,0.373927,0.038376,0.328336,NULL,4.525704,46.634468,81.057686,4.326289,6.051957,-16.806082
2.022225,-3.766423,2.746884,1.049539,-4.048852,-2.995659,1.040044,0.980133,0.168442,-0.104630,0.991058,0.080246,-0.106583,1.000000,1.000000,0.470670,0.373355,0.037846,0.332002,NULL,4.539483,46.636471,81.065605,4.342925,6.065194,-16.784515
2.044447,-3.766622,2.747214,1.049748,-4.049156,-2.995133,1.040091,0.980316,0.168228,-0.103226,0.991104,0.074249,-0.110367,1.000000,1.000000,0.470389,0.373927,0.035820,0.330961,NULL,4.550412,46.640846,81.076439,4.386516,6.071655,-16.776829
2.066669,-3.766626,2.747487,1.049878,-4.049874,-2.995386,1.039726,0.980118,0.169144,-0.103622,0.989899,0.079514,-0.117294,1.000000,1.000000,0.470434,0.373927,0.037399,0.328375,NULL,4.555963,46.639236,81.088646,4.418040,6.088082,-16.796522
2.088892,-3.767606,2.747897,1.050133,-4.038544,-2.993630,1.036574,0.980392,0.168945,-0.101318,0.991104,0.082855,-0.104111,1.000000,1.000000,0.470125,0.374722,0.037101,0.331883,NULL,4.544915,46.634640,81.078392,4.428805,6.082727,-16.830343
2.111114,-3.769580,2.745604,1.057449,-4.024542,-2.993948,1.036018,0.979141,0.168869,-0.112946,0.988068,0.091446,-0.123840,1.000000,1.000000,0.472192,0.377172,0.039695,0.327903,NULL,4.531671,46.626621,81.060997,4.423640,6.072898,-16.855259
2.133336,-3.764974,2.748056,1.059995,-4.055637,-2.997751,1.047223,0.976059,0.130310,-0.174103,0.986618,0.088440,-0.136887,0.737013,0.878118,0.458382,0.361006,0.041700,0.327244,NULL,4.540093,46.626865,81.053108,4.428459,6.070501,-16.862885
2.155558,-3.765941,2.757070,1.046016,-4.041561,-3.008858,1.071956,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.366949,0.657562,0.000000,0.000000,0.000000,0.000000,NULL,4.540093,46.623062,81.047295,4.428736,6.084278,-16.851492
2.177781,-3.788057,2.817673,0.977805,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.177160,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.555104,46.621166,81.051933,4.410600,6.079476,-16.836998
2.200003,-3.945101,3.088449,0.792073,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.569287,46.619728,81.050865,4.388141,6.061512,-16.812038
2.311114,-3.783192,2.795862,1.018477,-4.055272,-2.987038,1.057614,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.290505,0.310470,0.000000,0.000000,0.000000,0.000000,NULL,4.605111,46.612190,81.002586,4.377828,5.922491,-16.736773
2.333337,-3.764562,2.755290,1.067136,-4.058670,-2.995529,1.038191,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.370673,0.473086,0.000000,0.000000,0.000000,0.000000,NULL,4.623460,46.615681,80.995537,4.387472,5.899541,-16.737503
2.355559,-3.770957,2.750284,1.062479,-4.052700,-2.991863,1.043976,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.340632,0.683954,0.000000,0.000000,0.000000,0.000000,NULL,4.637883,46.616619,81.009483,4.400856,5.882227,-16.757713
2.377781,-3.767598,2.752393,1.060529,-4.050850,-2.992896,1.035577,0.976807,0.119568,-0.177551,0.982880,0.073639,-0.168823,0.396731,0.747330,0.451991,0.359905,0.033759,0.309570,NULL,4.643847,46.620594,81.006264,4.390950,5.909384,-16.777441
2.400003,-3.773432,2.748303,1.051776,-4.048454,-2.992905,1.032770,0.981491,0.119873,-0.149307,0.982758,0.092941,-0.159790,0.507584,0.815074,0.455407,0.360328,0.039211,0.310391,NULL,4.656297,46.626690,81.010368,4.383577,5.981190,-16.784382
2.422226,-3.767226,2.750528,1.054321,-4.049515,-2.991263,1.032782,0.968857,0.128586,-0.211548,0.983673,0.103424,-0.147263,0.585175,0.840885,0.455197,0.344416,0.040956,0.313885,NULL,4.662496,46.630589,80.998466,4.447814,5.959954,-16.772137
2.444448,-3.772020,2.748039,1.045879,-4.049983,-2.990338,1.032065,0.978394,0.168533,-0.119629,0.986420,0.095276,-0.133682,0.639293,0.869839,0.469413,0.365247,0.038005,0.317414,NULL,4.660314,46.635883,80.984627,4.471032,5.910005,-16.736868
2.466670,-3.767999,2.749429,1.048123,-4.045650,-2.988208,1.029808,0.976501,0.135162,-0.167801,0.985001,0.101852,-0.139267,0.732010,0.878543,0.458198,0.352758,0.038294,0.314768,NULL,4.660068,46.637753,80.992027,4.486036,5.888073,-16.746290
2.488893,-3.768979,2.747897,1.044073,-4.041385,-2.985861,1.030554,0.973038,0.127457,-0.192154,0.984833,0.110703,-0.133545,0.737039,0.886141,0.456734,0.341853,0.039084,0.317772,NULL,4.652141,46.638981,80.992577,4.519239,5.893094,-16.726532
2.511115,-3.771445,2.747545,1.044246,-4.039936,-2.985233,1.030365,0.976700,0.169708,-0.131256,0.984589,0.103104,-0.141205,0.773629,0.910556,0.469841,0.360202,0.036452,0.315623,NULL,4.648664,46.647896,80.995583,4.541059,5.892814,-16.708900
2.533337,-3.771558,2.747287,1.044148,-4.039452,-2.985018,1.028145,0.974182,0.167908,-0.150818,0.987427,0.102890,-0.119934,0.854480,0.928706,0.469214,0.354374,0.036264,0.320388,NULL,4.652747,46.655972,80.997444,4.500717,5.913810,-16.721313
2.555559,-3.772411,2.745835,1.045560,-4.046337,-2.987877,1.027490,0.980301,0.154282,-0.123291,0.989655,0.091232,-0.110657,0.872671,0.937621,0.467090,0.363749,0.035102,0.321506,NULL,4.654485,46.655754,81.001259,4.462510,5.934922,-16.720894
2.577782,-3.772157,2.745479,1.042657,-4.044815,-2.986208,1.027475,0.976685,0.148575,-0.154861,0.988464,0.088440,-0.122818,0.880037,0.926811,0.465075,0.351870,0.033113,0.318229,NULL,4.652150,46.658302,80.997887,4.446832,5.939607,-16.710163
2.600004,-3.772766,2.743868,1.041277,-4.046305,-2.984880,1.026459,0.978210,0.171204,-0.117416,0.988831,0.088623,-0.119812,0.904476,0.937855,0.473283,0.362074,0.032168,0.318087,NULL,4.663545,46.660297,81.007607,4.441854,5.932866,-16.707470
2.622226,-3.772345,2.743559,1.041325,-4.032819,-2.980937,1.023018,0.979996,0.164032,-0.112564,0.988022,0.094315,-0.122025,0.917603,0.941936,0.471590,0.363544,0.030831,0.317102,NULL,4.670343,46.665886,81.003700,4.437308,5.933911,-16.717062
2.644449,-3.773787,2.742786,1.040509,-4.018488,-2.974379,1.022488,0.979691,0.174271,-0.099121,0.987534,0.101715,-0.120010,0.899679,0.948344,0.475328,0.366875,0.028079,0.319760,NULL,4.676916,46.669292,81.003883,4.480733,5.930837,-16.714943
2.666671,-3.773410,2.742505,1.040509,-4.019968,-2.973792,1.022760,0.976212,0.172821,-0.130890,0.986664,0.109268,-0.120560,0.891154,0.941090,0.474563,0.357722,0.029750,0.319475,NULL,4.675313,46.665241,81.006874,4.508969,5.933795,-16.715109
2.688893,-3.771805,2.743785,1.041843,-4.026499,-2.971709,1.021007,0.976532,0.167892,-0.134781,0.987595,0.094101,-0.125671,0.920722,0.944994,0.472123,0.357539,0.023936,0.315633,NULL,4.677448,46.658588,81.010002,4.520313,5.939676,-16.731033
2.711115,-3.772078,2.790654,1.012119,-4.048270,-2.913785,0.996927,0.979889,0.055862,-0.191498,0.982117,-0.002777,-0.188187,0.957215,0.927578,0.402528,0.315368,-0.046322,0.275999,NULL,4.678295,46.662903,81.008186,4.514557,5.928481,-16.743158
2.733338,-3.773009,2.796501,1.006334,-4.035538,-2.903252,0.982199,0.975739,0.044540,-0.214310,0.975586,-0.026596,-0.217941,0.912564,0.908625,0.394566,0.303943,-0.060774,0.258432,NULL,4.677194,46.655193,81.003731,4.500934,5.930551,-16.745167
2.755560,-3.772869,2.797431,1.006297,-4.038120,-2.902287,0.984555,0.976151,0.041718,-0.213028,0.975174,-0.020782,-0.220428,0.912204,0.926450,0.393097,0.304028,-0.059914,0.258947,NULL,4.680822,46.657154,81.000252,4.511485,5.938754,-16.739908
2.777782,-3.772902,2.797643,1.006038,-4.038458,-2.902170,0.984325,0.975708,0.040207,-0.215332,0.977509,-0.015076,-0.210342,0.934350,0.933633,0.392499,0.303055,-0.058433,0.261666,NULL,4.680192,46.650864,81.009377,4.505532,5.976948,-16.740322
2.800004,-3.772951,2.797647,1.005699,-4.038487,-2.902103,0.984557,0.976593,0.040131,-0.211304,0.976669,-0.018723,-0.213867,0.925878,0.932689,0.392499,0.303830,-0.059539,0.260779,NULL,4.677644,46.646320,81.015007,4.486909,5.985554,-16.742592
2.822227,-3.772908,2.797687,1.005661,-4.038117,-2.901937,0.984511,0.976349,0.039902,-0.212418,0.976105,-0.014465,-0.216812,0.932796,0.943339,0.392400,0.303443,-0.058474,0.259883,NULL,4.679662,46.641808,81.015266,4.470101,5.973635,-16.737751
2.844449,-3.772879,2.797752,1.005624,-4.037636,-2.901747,0.984155,0.976547,0.042404,-0.211014,0.976227,-0.017136,-0.216064,0.922215,0.937307,0.393037,0.303830,-0.059360,0.259951,NULL,4.684406,46.630550,81.017342,4.470271,5.964367,-16.735411
2.866671,-3.772879,2.797829,1.005475,-4.037360,-2.901602,0.984346,0.976044,0.042709,-0.213272,0.976044,-0.019424,-0.216675,0.960846,0.942016,0.393037,0.303055,-0.060124,0.259951,NULL,4.680553,46.633686,81.011208,4.498379,5.958431,-16.720127
2.888894,-3.772928,2.798555,1.005475,-4.037331,-2.900992,0.985220,0.976471,0.049744,-0.209824,0.976395,-0.019226,-0.215073,0.939784,0.948406,0.394421,0.304045,-0.060543,0.261079,NULL,4.684005,46.651466,80.997597,4.504806,5.917942,-16.731771
2.911116,-3.772846,2.798639,1.005722,-4.038028,-2.902260,0.987038,0.977234,0.044754,-0.207336,0.976913,-0.022568,-0.212418,0.941309,0.959771,0.393037,0.304874,-0.060572,0.263088,NULL,4.683239,46.643906,80.993507,4.488860,5.894507,-16.745394
2.933338,-3.772724,2.798670,1.005775,-4.037769,-2.902403,0.987447,0.977188,0.049896,-0.206345,0.975250,-0.023071,-0.219849,0.936667,0.925321,0.394421,0.305235,-0.060601,0.261219,NULL,4.680786,46.686619,80.984703,4.467561,5.956041,-16.737837
